Amp_range,Avg_amp,Freq_range,Pulses_per_Sec,Partials,MFCC,Duration,Zero_Crossings,Sex,Age,Species,Call
0.12934253,0.030278089,1948.6,172.0,6,-6.574149,5,1756,Female,Adult,L. lynx,growl
0.12569824,0.023927122,2113.833333333333,156.66666666666666,4,-6.574149,6,2094,Female,Adult,L. lynx,growl
0.11461206,0.026859784,1941.4,154.2,5,-6.574149,5,1645,Female,Adult,L. lynx,growl
0.17265904,0.040088452,2831.7142857142853,209.42857142857142,6,-6.574149,7,2204,Female,Adult,L. lynx,growl
0.22387247,0.043898437,3387.625,224.125,14,-6.574149,8,3109,Female,Adult,L. lynx,growl
0.26241955,0.09827879,2357.5,230.0,6,-6.574149,2,829,Female,Adult,L. lynx,growl
0.18110566,0.05950654,1494.3333333333333,163.66666666666666,6,-6.574149,3,950,Female,Adult,L. lynx,growl
0.15953268,0.04095301,1015.0,168.33333333333334,4,-6.574149,3,943,Female,Adult,L. lynx,growl
0.12197676,0.023472255,1953.4,221.0,8,-6.574149,5,2418,Female,Adult,L. lynx,growl
0.031234158,0.0072709653,539.0,92.0,0,-6.574149,1,480,Female,Adult,L. lynx,roar
0.09897745,0.019859487,1335.0000000000002,229.6,10,-6.574149,5,2403,Female,Adult,L. lynx,growl
0.124059275,0.02303479,1192.0,193.25,7,-6.574149,4,1583,Female,Adult,L. lynx,growl
0.12194524,0.01961582,1402.7142857142856,163.42857142857142,11,-6.574149,7,2500,Female,Adult,L. lynx,growl
0.06921271,0.013324104,1005.6666666666666,156.33333333333334,5,-6.574149,3,1099,Female,Adult,L. lynx,growl
0.57569665,0.028169278,9554.5,901.125,6,-6.613587,8,11972,M,Adult,L. lynx,
0.35679275,0.03350417,6643.1,498.8,4,-6.613587,10,8465,M,Adult,L. lynx,growl
0.47480196,0.029396085,5986.5,201.9,6,-6.613587,10,9101,M,Adult,L. lynx,growl
0.5604347,0.03914102,9215.470588235294,356.94117647058823,11,-6.613587,17,11444,M,Adult,L. lynx,growl
0.18071301,0.019282997,6813.142857142857,459.14285714285717,7,-6.613587,14,12928,M,Adult,L. lynx,growl
0.305506,0.03941262,5590.0,419.25,7,-6.613587,4,2865,M,Adult,L. lynx,growl
0.2143994,0.02666513,2231.25,182.75,10,-8.602005,8,3241,,Adult,L. lynx,growl
0.1374815,0.015708083,4052.0,1195.0,7,-20.943424,1,2342,Female,Adult,L. lynx,growl
0.25072396,0.021139618,6427.0,1787.0,6,-10.251707,1,3544,Male,Adult,L. lynx,roar
0.12162694,0.013095775,1877.0,339.0,2,-10.251707,2,1927,Male,Adult,L. lynx,growl
0.39713225,0.024047082,8012.5,867.5,9,-10.251707,2,4281,Male,Adult,L. lynx,
0.1378233,0.01574538,7593.0,460.0,7,-10.251707,6,7165,Male,Adult,L. lynx,growl
0.4837761,0.058668885,10177.0,1832.0,25,-10.251707,1,3351,Male,Adult,L. lynx,roar
0.2681177,0.021064244,9932.6,1280.0,16,-10.251707,5,11117,Male,Adult,L. lynx,call
